cik,ticker,name,sic,sic_description,state_of_incorporation,exchanges,hq_street,hq_city,hq_state_or_country,hq_postcode,hq_address
1403161,V,VISA INC.,7389,"Services-Business Services, NEC",DE,NYSE,P.O. BOX 8999,SAN FRANCISCO,CA,94128-8999,"P.O. BOX 8999, SAN FRANCISCO, CA, 94128-8999"
937966,ASML,ASML HOLDING NV,3559,"Special Industry Machinery, NEC",,Nasdaq|OTC,DE RUN 6501,DR VELDHOVEN,P7,5504,"DE RUN 6501, DR VELDHOVEN, P7, 5504"
2115436,XOM,ExxonMobil Holdings Corp,2911,Petroleum Refining,TX,NYSE,22777 SPRINGWOODS VILLAGE PARKWAY,SPRING,TX,77389,"22777 SPRINGWOODS VILLAGE PARKWAY, SPRING, TX, 77389"
200406,JNJ,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations,NJ,NYSE,ONE JOHNSON & JOHNSON PLZ,NEW BRUNSWICK,NJ,08933,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, 08933"
1141391,MA,Mastercard Inc,7389,"Services-Business Services, NEC",DE,NYSE,2000 PURCHASE STREET,PURCHASE,NY,10577,"2000 PURCHASE STREET, PURCHASE, NY, 10577"
1551152,ABBV,AbbVie Inc.,2834,Pharmaceutical Preparations,DE,NYSE,1 NORTH WAUKEGAN ROAD,NORTH CHICAGO,IL,60064,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, 60064"
50863,INTC,INTEL CORP,3674,Semiconductors & Related Devices,DE,Nasdaq,2200 MISSION COLLEGE BLVD,SANTA CLARA,CA,95054,"2200 MISSION COLLEGE BLVD, RNB-4-151, SANTA CLARA, CA, 95054"
70858,BAC,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks,DE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|OTC|NYSE|NYSE|NYSE,BANK OF AMERICA CORPORATE CENTER,CHARLOTTE,NC,28255,"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255"
858877,CSCO,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,DE,Nasdaq,170 WEST TASMAN DR,SAN JOSE,CA,95134-1706,"170 WEST TASMAN DR, SAN JOSE, CA, 95134-1706"
909832,COST,COSTCO WHOLESALE CORP /NEW,5331,Retail-Variety Stores,WA,Nasdaq,999 LAKE DRIVE,ISSAQUAH,WA,98027-,"999 LAKE DRIVE, ISSAQUAH, WA, 98027-"
1321655,PLTR,Palantir Technologies Inc.,7372,Services-Prepackaged Software,,Nasdaq,19505 BISCAYNE BOULEVARD,AVENTURA,FL,33180,"19505 BISCAYNE BOULEVARD, SUITE 2350, AVENTURA, FL, 33180"
1341439,ORCL,ORACLE CORP,7372,Services-Prepackaged Software,,NYSE|NYSE,2300 ORACLE WAY,AUSTIN,TX,78741,"2300 ORACLE WAY, AUSTIN, TX, 78741"
93410,CVX,CHEVRON CORP,2911,Petroleum Refining,DE,NYSE,1400 SMITH STREET,HOUSTON,TX,77002,"1400 SMITH STREET, HOUSTON, TX, 77002"
21344,KO,COCA COLA CO,2080,Beverages,DE,NYSE,ONE COCA COLA PLAZA,ATLANTA,GA,30313,"ONE COCA COLA PLAZA, ATLANTA, GA, 30313"
707549,LRCX,LAM RESEARCH CORP,3559,"Special Industry Machinery, NEC",DE,Nasdaq,4650 CUSHING BLVD,FREMONT,CA,94538,"4650 CUSHING BLVD, FREMONT, CA, 94538"
6951,AMAT,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices,DC,Nasdaq,3050 BOWERS AVE,SANTA CLARA,CA,95054-3299,"3050 BOWERS AVE, SANTA CLARA, CA, 95054-3299"
2070829,CYATY,"Contemporary Amperex Technology Co., Limited/ADR",,,F4,OTC,NO. 2 XINGANG ROAD,FUJIAN,,352100,"NO. 2 XINGANG ROAD, FUJIAN, 352100"
18230,CAT,CATERPILLAR INC,3531,Construction Machinery & Equip,DE,NYSE,5205 N. O'CONNOR BOULEVARD,IRVING,TX,75039,"5205 N. O'CONNOR BOULEVARD, SUITE 100, IRVING, TX, 75039"
310158,MRK,"Merck & Co., Inc.",2834,Pharmaceutical Preparations,NJ,NYSE,126 EAST LINCOLN AVENUE,RAHWAY,NJ,07065,"126 EAST LINCOLN AVENUE, P.O. BOX 2000, RAHWAY, NJ, 07065"
731766,UNH,UNITEDHEALTH GROUP INC,6324,Hospital & Medical Service Plans,DE,NYSE,1 HEALTH DRIVE,EDEN PRAIRIE,MN,55344,"1 HEALTH DRIVE, EDEN PRAIRIE, MN, 55344"
1089113,HSBC,HSBC HOLDINGS PLC,6035,"Savings Institution, Federally Chartered",,NYSE|OTC,8 CANADA SQUARE,LONDON,X0,E145HQ,"8 CANADA SQUARE, LONDON, X0, E145HQ"
40545,GE,GENERAL ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip),NY,NYSE,1 NEUMANN WAY,EVENDALE,OH,45215,"1 NEUMANN WAY, EVENDALE, OH, 45215"
80424,PG,PROCTER & GAMBLE Co,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",OH,NYSE,ONE PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,"ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, 45202"
895421,MS,MORGAN STANLEY,6211,"Security Brokers, Dealers & Flotation Companies",DE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,1585 BROADWAY,NEW YORK,NY,10036,"1585 BROADWAY, NEW YORK, NY, 10036"
1065280,NFLX,NETFLIX INC,7841,Services-Video Tape Rental,DE,Nasdaq,121 ALBRIGHT WAY,LOS GATOS,CA,95032,"121 ALBRIGHT WAY, LOS GATOS, CA, 95032"
886982,GS,GOLDMAN SACHS GROUP INC,6211,"Security Brokers, Dealers & Flotation Companies",DE,NYSE|OTC|NYSE|NYSE|NYSE,200 WEST STREET,NEW YORK,NY,10282,"200 WEST STREET, NEW YORK, NY, 10282"
1114448,NVS,NOVARTIS AG,2834,Pharmaceutical Preparations,V8,NYSE|OTC,LICHTSTRASSE 35,BASEL,V8,CH 4056,"LICHTSTRASSE 35, BASEL, V8, CH 4056"
1413329,PM,Philip Morris International Inc.,2111,Cigarettes,VA,NYSE,"677 WASHINGTON BLVD, STE. 1100",STAMFORD,CT,06901,"677 WASHINGTON BLVD, STE. 1100, STAMFORD, CT, 06901"
1327567,PANW,Palo Alto Networks Inc,3577,"Computer Peripheral Equipment, NEC",DE,Nasdaq,3000 TANNERY WAY,SANTA CLARA,CA,95054,"3000 TANNERY WAY, SANTA CLARA, CA, 95054"
1577552,BABA,Alibaba Group Holding Ltd,7389,"Services-Business Services, NEC",K3,NYSE|OTC|OTC,26/F TOWER ONE,CAUSEWAY BAY,,00000,"26/F TOWER ONE, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, 00000"
1000275,RY,ROYAL BANK OF CANADA,6029,"Commercial Banks, NEC",A6,NYSE|OTC,ROYAL BANK PLAZA,TORONTO,,M5J 2J5,"ROYAL BANK PLAZA, 200 BAY STREET, TORONTO, M5J 2J5"
101829,RTX,RTX Corp,3724,Aircraft Engines & Engine Parts,DE,NYSE,1000 WILSON BLVD,ARLINGTON,VA,22209,"1000 WILSON BLVD, ARLINGTON, VA, 22209"
1571996,DELL,Dell Technologies Inc.,3571,Electronic Computers,TX,NYSE,ONE DELL WAY,ROUND ROCK,TX,78682,"ONE DELL WAY, ROUND ROCK, TX, 78682"
901832,AZN,ASTRAZENECA PLC,2834,Pharmaceutical Preparations,X0,NYSE,1 FRANCIS CRICK AVENUE,CAMBRIDGE,,CB2 0AA,"1 FRANCIS CRICK AVENUE, CAMBRIDGE BIOMEDICAL CAMPUS, CAMBRIDGE, CB2 0AA"
1306965,SHEL,Shell plc,1311,Crude Petroleum & Natural Gas,DC,NYSE|OTC,SHELL CENTRE,LONDON,,SE1 7NA,"SHELL CENTRE, 2 YORK ROAD, LONDON, SE1 7NA"
72971,WFC,WELLS FARGO & COMPANY/MN,6021,National Commercial Banks,DE,NYSE|NYSE|NYSE|NYSE|OTC|NYSE|NYSE|NYSE,333 MARKET STREET,SAN FRANCISCO,CA,94105,"333 MARKET STREET, SAN FRANCISCO, CA, 94105"
1973239,ARM,ARM HOLDINGS PLC /UK,3674,Semiconductors & Related Devices,X0,Nasdaq,110 FULBOURN ROAD,CAMBRIDGE,X0,CB1 9NJ,"110 FULBOURN ROAD, CAMBRIDGE, X0, CB1 9NJ"
1000184,SAP,SAP SE,7372,Services-Prepackaged Software,2M,NYSE|OTC,DIETMAR-HOPP-ALLEE 16,WALLDORF,2M,69190,"DIETMAR-HOPP-ALLEE 16, WALLDORF, 2M, 69190"
1996810,GEV,GE Vernova Inc.,3600,Electronic & Other Electrical Equipment (No Computer Equip),DE,NYSE,58 CHARLES STREET,CAMBRIDGE,MA,02141,"58 CHARLES STREET, CAMBRIDGE, MA, 02141"
67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,6029,"Commercial Banks, NEC",,NYSE|OTC,"4-5, MARUNOUCHI 1-CHOME",TOKYO,M0,100-8330,"4-5, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO, M0, 100-8330"
811809,BHP,BHP Group Ltd,1000,Metal Mining,C3,NYSE|OTC,16/171 COLLINS STREET,VICTORIA AUSTRALIA,,3000,"16/171 COLLINS STREET, MELBOURNE, VICTORIA AUSTRALIA, 3000"
318154,AMGN,AMGEN INC,2836,"Biological Products, (No Diagnostic Substances)",DE,Nasdaq,ONE AMGEN CENTER DRIVE,THOUSAND OAKS,CA,91320,"ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, 91320"
319201,KLAC,KLA CORP,3827,Optical Instruments & Lenses,DE,Nasdaq,ONE TECHNOLOGY DRIVE,MILPITAS,CA,95035,"ONE TECHNOLOGY DRIVE, MILPITAS, CA, 95035"
97476,TXN,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices,DE,Nasdaq,P.O. BOX 660199,DALLAS,TX,75266,"P.O. BOX 660199, DALLAS, TX, 75266"
1596532,ANET,"Arista Networks, Inc.",3576,Computer Communications Equipment,DE,NYSE,5453 GREAT AMERICA PARKWAY,SANTA CLARA,CA,95054,"5453 GREAT AMERICA PARKWAY, SANTA CLARA, CA, 95054"
97745,TMO,THERMO FISHER SCIENTIFIC INC.,3829,"Measuring & Controlling Devices, NEC",DE,NYSE,168 THIRD AVENUE,WALTHAM,MA,02451,"168 THIRD AVENUE, WALTHAM, MA, 02451"
1094517,TM,TOYOTA MOTOR CORP/,3711,Motor Vehicles & Passenger Car Bodies,M0,NYSE|OTC,1 TOYOTA CHO TOYOTA CITY,JAPAN,M0,00000,"1 TOYOTA CHO TOYOTA CITY, AICHI PREFECTURE 471-8571, JAPAN, M0, 00000"
4962,AXP,AMERICAN EXPRESS CO,6199,Finance Services,NY,NYSE,200 VESEY STREET,NEW YORK,NY,10285,"200 VESEY STREET, 50TH FLOOR, NEW YORK, NY, 10285"
1707925,LIN,LINDE PLC,2810,Industrial Inorganic Chemicals,L2,Nasdaq,"FORGE, 43 CHURCH STREET WEST",WOKING SURREY,X0,GU216HT,"FORGE, 43 CHURCH STREET WEST, WOKING SURREY, X0, GU216HT"
831001,C,CITIGROUP INC,6021,National Commercial Banks,DE,NYSE|NYSE|NYSE,388 GREENWICH STREET,NEW YORK,NY,10013,"388 GREENWICH STREET, NEW YORK, NY, 10013"
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,Computer & office Equipment,NY,NYSE,1 NEW ORCHARD ROAD,ARMONK,NY,10504,"1 NEW ORCHARD ROAD, ARMONK, NY, 10504"
2023554,SNDK,Sandisk Corp,3572,Computer Storage Devices,DE,Nasdaq,951 SANDISK DRIVE,MILPITAS,CA,95035,"951 SANDISK DRIVE, MILPITAS, CA, 95035"
891478,SAN,"Banco Santander, S.A.",6029,"Commercial Banks, NEC",U3,NYSE|OTC,CIUDAD GRUPO SANTANDER,MADRID,U3,28660,"CIUDAD GRUPO SANTANDER, BOADILLA DEL MONTE, MADRID, U3, 28660"
732712,VZ,VERIZON COMMUNICATIONS INC,4813,Telephone Communications (No Radiotelephone),DE,NYSE,1095 AVENUE OF THE AMERICAS,NEW YORK,NY,10036,"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, 10036"
887028,RTNTF,RIO TINTO LTD,1000,Metal Mining,C3,OTC,43-120 COLLINS STREET,VICTORIA 3000,C3,AUSTRALIA,"43-120 COLLINS STREET, MELBOURNE, VICTORIA 3000, C3, AUSTRALIA"
1835632,MRVL,"Marvell Technology, Inc.",3674,Semiconductors & Related Devices,DE,Nasdaq,1000 N. WEST STREET,WILMINGTON,DE,19801,"1000 N. WEST STREET, SUITE 1200, WILMINGTON, DE, 19801"
353278,NVO,NOVO NORDISK A S,2834,Pharmaceutical Preparations,,NYSE|OTC,NOVO ALLE DK 2880,BAGSVAERD DENMARK,G7,00000,"NOVO ALLE DK 2880, BAGSVAERD DENMARK, G7, 00000"
1800,ABT,ABBOTT LABORATORIES,2834,Pharmaceutical Preparations,IL,NYSE,100 ABBOTT PARK ROAD,ABBOTT PARK,IL,60064-3500,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, 60064-3500"
879764,TTE,TotalEnergies SE,1311,Crude Petroleum & Natural Gas,I0,NYSE,2 PLACE JEAN MILLIER,COURBEVOIE,I0,92400,"2 PLACE JEAN MILLIER, LA DEFENSE 6, COURBEVOIE, I0, 92400"
77476,PEP,PEPSICO INC,2080,Beverages,NC,Nasdaq,700 ANDERSON HILL RD,PURCHASE,NY,10577,"700 ANDERSON HILL RD, PURCHASE, NY, 10577"
316709,SCHW,SCHWAB CHARLES CORP,6211,"Security Brokers, Dealers & Flotation Companies",DE,NYSE|NYSE|NYSE,3000 SCHWAB WAY,WESTLAKE,TX,76262,"3000 SCHWAB WAY, WESTLAKE, TX, 76262"
1283699,TMUS,"T-Mobile US, Inc.",4812,Radiotelephone Communications,DE,Nasdaq|Nasdaq|Nasdaq|Nasdaq,12920 SE 38TH STREET,BELLEVUE,WA,98006,"12920 SE 38TH STREET, BELLEVUE, WA, 98006"
1535527,CRWD,"CrowdStrike Holdings, Inc.",7372,Services-Prepackaged Software,DE,Nasdaq,206 E. 9TH STREET,AUSTIN,TX,78701,"206 E. 9TH STREET, SUITE 1400, AUSTIN, TX, 78701"
1594805,SHOP,SHOPIFY INC.,7372,Services-Prepackaged Software,Z4,Nasdaq,151 O'CONNOR STREET,OTTAWA,,K2P2L8,"151 O'CONNOR STREET, GROUND FLOOR, OTTAWA, K2P2L8"
63908,MCD,MCDONALDS CORP,5812,Retail-Eating  Places,DE,NYSE,110 NORTH CARPENTER STREET,CHICAGO,IL,60607,"110 NORTH CARPENTER STREET, CHICAGO, IL, 60607"
947263,TD,TORONTO DOMINION BANK,6029,"Commercial Banks, NEC",A6,NYSE|OTC,66 WELLINGTON STREET WEST,"TORONTO, ONTARIO",A6,M5K 1A2,"66 WELLINGTON STREET WEST, 12TH FLOOR, TD TOWER, TORONTO, ONTARIO, A6, M5K 1A2"
820313,APH,AMPHENOL CORP /DE/,3678,Electronic Connectors,DE,NYSE,358 HALL AVE,WALLINGFORD,CT,06492,"358 HALL AVE, WALLINGFORD, CT, 06492"
1744489,DIS,Walt Disney Co,7990,Services-Miscellaneous Amusement & Recreation,DE,NYSE,500 SOUTH BUENA VISTA STREET,BURBANK,CA,91521,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, 91521"
2012383,BLK,"BlackRock, Inc.",6211,"Security Brokers, Dealers & Flotation Companies",DE,NYSE,50 HUDSON YARDS,NEW YORK,NY,10001,"50 HUDSON YARDS, NEW YORK, NY, 10001"
100885,UNP,UNION PACIFIC CORP,4011,"Railroads, Line-Haul Operating",UT,NYSE,1400 DOUGLAS STREET,OMAHA,NE,68179,"1400 DOUGLAS STREET, STOP 0310, OMAHA, NE, 68179"
1137789,STX,Seagate Technology Holdings plc,3572,Computer Storage Devices,,Nasdaq,121 WOODLANDS AVENUE 5,SINGAPORE,U0,739009,"121 WOODLANDS AVENUE 5, SINGAPORE, U0, 739009"
882095,GILD,"GILEAD SCIENCES, INC.",2836,"Biological Products, (No Diagnostic Substances)",DE,Nasdaq,333 LAKESIDE DR,FOSTER CITY,CA,94404,"333 LAKESIDE DR, FOSTER CITY, CA, 94404"
1001838,SCCO,SOUTHERN COPPER CORP/,1000,Metal Mining,DE,NYSE,7310 NORTH 16TH ST.,PHOENIX,AZ,85020,"7310 NORTH 16TH ST., SUITE 135, PHOENIX, AZ, 85020"
732717,T,AT&T INC.,4813,Telephone Communications (No Radiotelephone),DE,NYSE|NYSE|NYSE|NYSE,208 S. AKARD ST,DALLAS,TX,75202,"208 S. AKARD ST, DALLAS, TX, 75202"
753308,NEE,NEXTERA ENERGY INC,4911,Electric Services,FL,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,700 UNIVERSE BLVD,JUNO BEACH,FL,33408,"700 UNIVERSE BLVD, JUNO BEACH, FL, 33408"
315189,DE,DEERE & CO,3523,Farm Machinery & Equipment,DE,NYSE,ONE JOHN DEERE PLACE,MOLINE,IL,61265-8098,"ONE JOHN DEERE PLACE, MOLINE, IL, 61265-8098"
766704,WELL,WELLTOWER INC.,6798,Real Estate Investment Trusts,DE,NYSE,4500 DORR STREET,TOLEDO,OH,43615,"4500 DORR STREET, TOLEDO, OH, 43615"
2053383,KXIAY,Kioxia Holdings Corporation/ADR,,,M0,OTC,383 MADISON AVENUE,NEW YORK,NY,10179,"383 MADISON AVENUE, FLOOR 11, NEW YORK, NY, 10179"
1393818,BX,Blackstone Inc.,6282,Investment Advice,DE,NYSE,345 PARK AVENUE,NEW YORK,NY,10154,"345 PARK AVENUE, NEW YORK, NY, 10154"
863064,RIO,RIO TINTO PLC,1000,Metal Mining,X0,NYSE|OTC,6 ST JAMES'S SQUARE,"LONDON, SW1Y 4AD",X0,00000,"6 ST JAMES'S SQUARE, LONDON, SW1Y 4AD, X0, 00000"
804328,QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,DE,Nasdaq,5775 MOREHOUSE DR,SAN DIEGO,CA,92121,"5775 MOREHOUSE DR, SAN DIEGO, CA, 92121"
12927,BA,BOEING CO,3721,Aircraft,DE,NYSE|NYSE,929 LONG BRIDGE DRIVE,ARLINGTON,VA,22202,"929 LONG BRIDGE DRIVE, ARLINGTON, VA, 22202"
1610520,UBS,UBS Group AG,6021,National Commercial Banks,V8,NYSE,BAHNHOFSTRASSE 45,ZURICH,,CH-8001,"BAHNHOFSTRASSE 45, ZURICH, CH-8001"
946770,DTEGY,DEUTSCHE TELEKOM AG,4812,Radiotelephone Communications,,OTC,FRIEDRICH-EBERT-ALLEE 140,BONN,,53113,"FRIEDRICH-EBERT-ALLEE 140, BONN, 53113"
842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",6029,"Commercial Banks, NEC",,NYSE|OTC,CALLE AZUL 4,MADRID,U3,28050,"CALLE AZUL 4, MADRID, U3, 28050"
1543151,UBER,"Uber Technologies, Inc",7389,"Services-Business Services, NEC",DE,NYSE,1725 3RD STREET,SAN FRANCISCO,CA,94158,"1725 3RD STREET, SAN FRANCISCO, CA, 94158"
1163165,COP,CONOCOPHILLIPS,2911,Petroleum Refining,DE,NYSE,925 N. ELDRIDGE PARKWAY,HOUSTON,TX,77079,"925 N. ELDRIDGE PARKWAY, HOUSTON, TX, 77079"
1075531,BKNG,Booking Holdings Inc.,4700,Transportation Services,DE,Nasdaq,800 CONNECTICUT AVE,NORWALK,CT,06854,"800 CONNECTICUT AVE, NORWALK, CT, 06854"
78003,PFE,PFIZER INC,2834,Pharmaceutical Preparations,DE,NYSE,66 HUDSON BOULEVARD EAST,NEW YORK,NY,10001-2192,"66 HUDSON BOULEVARD EAST, NEW YORK, NY, 10001-2192"
1551182,ETN,Eaton Corp plc,3590,Misc Industrial & Commercial Machinery & Equipment,,NYSE,30 PEMBROKE ROAD,DUBLIN,L2,DUBLIN 4,"30 PEMBROKE ROAD, EATON HOUSE, DUBLIN, L2, DUBLIN 4"
1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",6029,"Commercial Banks, NEC",M0,NYSE|OTC,"1-2, MARUNOUCHI 1-CHOME",TOKYO,M0,100-0005,"1-2, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO, M0, 100-0005"
1381197,IBKR,"Interactive Brokers Group, Inc.",6211,"Security Brokers, Dealers & Flotation Companies",DE,Nasdaq,ONE PICKWICK PLAZA,GREENWICH,CT,06830,"ONE PICKWICK PLAZA, GREENWICH, CT, 06830"
106040,WDC,WESTERN DIGITAL CORP,3572,Computer Storage Devices,DE,Nasdaq,5601 GREAT OAKS PARKWAY,SAN JOSE,CA,95119,"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, 95119"
1158838,ATEYY,ADVANTEST CORP,3674,Semiconductors & Related Devices,M0,OTC|OTC,SHIN-MARUNOUCHI CENTER BUILDING,"CHIYODA-KU, TOKYO 100-0005",M0,00000,"SHIN-MARUNOUCHI CENTER BUILDING, 1-6-2 MARUNOUCHI,, CHIYODA-KU, TOKYO 100-0005, M0, 00000"
1668717,BUD,Anheuser-Busch InBev SA/NV,2082,Malt Beverages,C9,NYSE|OTC,BROUWERIJPLEIN 1,LEUVEN,,,"BROUWERIJPLEIN 1, LEUVEN"
109198,TJX,TJX COMPANIES INC /DE/,5651,Retail-Family Clothing Stores,DE,NYSE,770 COCHITUATE RD,FRAMINGHAM,MA,01701,"770 COCHITUATE RD, FRAMINGHAM, MA, 01701"
313616,DHR,DANAHER CORP /DE/,3823,"Industrial Instruments For Measurement, Display, and Control",DE,NYSE,2200 PENNSYLVANIA AVE. N.W.,WASHINGTON,DC,20037-1701,"2200 PENNSYLVANIA AVE. N.W., SUITE 800W, WASHINGTON, DC, 20037-1701"
47710,HTHIY,HITACHI LTD,1600,Heavy Construction Other Than Bldg Const - Contractors,,OTC,"6-6, MARUNOUCHI 1-CHOME",TOKYO JAPAN,M0,100-8280,"6-6, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO JAPAN, M0, 100-8280"
1830056,SMERY,Siemens Energy AG/ADR,,,2M,OTC,WERNER-VON-SIEMENS-STRASSE 1,MUNICH,2M,80333,"WERNER-VON-SIEMENS-STRASSE 1, MUNICH, 2M, 80333"
313838,SONY,Sony Group Corp,3651,Household Audio & Video Equipment,M0,NYSE|OTC,"1-7-1, KONAN",TOKYO,,108-0075,"1-7-1, KONAN, MINATO-KU, TOKYO, 108-0075"
217410,UL,UNILEVER PLC,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,NYSE|OTC,UNILEVER HOUSE,LONDON,,EC4Y 0DY,"UNILEVER HOUSE, 100 VICTORIA EMBANKMENT, LONDON, EC4Y 0DY"
875320,VRTX,VERTEX PHARMACEUTICALS INC / MA,2834,Pharmaceutical Preparations,MA,Nasdaq,50 NORTHERN AVENUE,BOSTON,MA,02210,"50 NORTHERN AVENUE, BOSTON, MA, 02210"
1045609,PLD,"Prologis, Inc.",6798,Real Estate Investment Trusts,MD,NYSE|OTC,PIER 1 BAY 1,SAN FRANCISCO,CA,94111,"PIER 1 BAY 1, SAN FRANCISCO, CA, 94111"
1164727,NEM,NEWMONT Corp /DE/,1040,Gold and Silver Ores,DE,NYSE|OTC,6900 E LAYTON AVE,DENVER,CO,80237,"6900 E LAYTON AVE, SUITE 700, DENVER, CO, 80237"
14272,BMY,BRISTOL MYERS SQUIBB CO,2834,Pharmaceutical Preparations,DE,NYSE|NYSE,ROUTE 206 AND PROVINCE LINE ROAD,PRINCETON,NJ,08543,"ROUTE 206 AND PROVINCE LINE ROAD, PRINCETON, NJ, 08543"
1035267,ISRG,INTUITIVE SURGICAL INC,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",DE,Nasdaq,1020 KIFER ROAD,SUNNYVALE,CA,94086,"1020 KIFER ROAD, SUNNYVALE, CA, 94086"
896159,CB,Chubb Ltd,6331,"Fire, Marine & Casualty Insurance",V8,NYSE,BARENGASSE 32,ZURICH,V8,CH-8001,"BARENGASSE 32, ZURICH, V8, CH-8001"
927628,COF,CAPITAL ONE FINANCIAL CORP,6021,National Commercial Banks,DE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,1680 CAPITAL ONE DRIVE,MCLEAN,VA,22102,"1680 CAPITAL ONE DRIVE, MCLEAN, VA, 22102"
